"ward_id","ward_tikicode","ward_name","district_id","district_tikicode","district_name","region_id","region_tikicode","region_name"
"3563","VN034018009","Phường Nguyễn Trung Trực","1","VN034018","Quận Ba Đình","297","VN034","Hà Nội"
"3564","VN034018001","Phường Cống Vị","1","VN034018","Quận Ba Đình","297","VN034","Hà Nội"
"3565","VN034018002","Phường Điện Biên","1","VN034018","Quận Ba Đình","297","VN034","Hà Nội"
"3566","VN034018003","Phường Đội Cấn","1","VN034018","Quận Ba Đình","297","VN034","Hà Nội"
"3567","VN034018004","Phường Giảng Võ","1","VN034018","Quận Ba Đình","297","VN034","Hà Nội"
"3568","VN034018005","Phường Kim Mã","1","VN034018","Quận Ba Đình","297","VN034","Hà Nội"
"3569","VN034018006","Phường Liễu Giai","1","VN034018","Quận Ba Đình","297","VN034","Hà Nội"
"3570","VN034018007","Phường Ngọc Hà","1","VN034018","Quận Ba Đình","297","VN034","Hà Nội"
"3571","VN034018008","Phường Ngọc Khánh","1","VN034018","Quận Ba Đình","297","VN034","Hà Nội"
"3572","VN034018010","Phường Phúc Xá","1","VN034018","Quận Ba Đình","297","VN034","Hà Nội"
